game_id,game_date
0022100267,2021-11-24
0022100268,2021-11-24
0022100269,2021-11-24
0022100270,2021-11-24
0022100271,2021-11-24
0022100272,2021-11-24
0022100273,2021-11-24
0022100274,2021-11-24
0022100275,2021-11-24
0022100276,2021-11-24
0022100277,2021-11-24
0022100278,2021-11-24
0022100279,2021-11-24
0022100280,2021-11-26
0022100281,2021-11-26
0022100282,2021-11-26
0022100283,2021-11-26
0022100284,2021-11-26
0022100285,2021-11-26
0022100286,2021-11-26
0022100287,2021-11-26
0022100288,2021-11-26
0022100289,2021-11-26
0022100290,2021-11-26
0022100291,2021-11-26
0022100292,2021-11-27
0022100293,2021-11-27
0022100294,2021-11-27
0022100295,2021-11-27
0022100296,2021-11-27
0022100297,2021-11-27
0022100298,2021-11-27
0022100299,2021-11-27
0022100300,2021-11-28
0022100301,2021-11-28
0022100302,2021-11-28
0022100303,2021-11-28
0022100304,2021-11-28
0022100305,2021-11-29
0022100306,2021-11-29
0022100307,2021-11-29
0022100308,2021-11-29
0022100309,2021-11-29
0022100310,2021-11-29
0022100311,2021-11-29
0022100312,2021-11-29
0022100313,2021-11-29
0022100314,2021-11-30
0022100315,2021-11-30
0022100316,2021-11-30
0022100317,2021-11-30
0022100318,2021-11-30
0022100319,2021-12-01
0022100320,2021-12-01
0022100321,2021-12-01
0022100322,2021-12-01
0022100323,2021-12-01
0022100324,2021-12-01
0022100325,2021-12-01
0022100326,2021-12-01
0022100327,2021-12-01
0022100328,2021-12-02
0022100329,2021-12-02
0022100330,2021-12-02
0022100331,2021-12-02
0022100332,2021-12-02
0022100333,2021-12-03
0022100334,2021-12-03
0022100335,2021-12-03
0022100336,2021-12-03
0022100337,2021-12-03
0022100338,2021-12-03
0022100339,2021-12-03
0022100340,2021-12-03
0022100341,2021-12-03
0022100342,2021-12-04
0022100343,2021-12-04
0022100344,2021-12-04
0022100345,2021-12-04
0022100346,2021-12-04
0022100347,2021-12-04
0022100348,2021-12-04
0022100349,2021-12-05
0022100350,2021-12-05
0022100351,2021-12-05
0022100352,2021-12-05
0022100353,2021-12-06
0022100354,2021-12-06
0022100355,2021-12-06
0022100356,2021-12-06
0022100357,2021-12-06
0022100358,2021-12-06
0022100359,2021-12-06
0022100360,2021-12-06
0022100361,2021-12-06
0022100362,2021-12-06
0022100363,2021-12-07
0022100364,2021-12-07
0022100365,2021-12-07
0022100366,2021-12-08
0022100367,2021-12-08
0022100368,2021-12-08
0022100369,2021-12-08
0022100370,2021-12-08
0022100371,2021-12-08
0022100372,2021-12-08
0022100373,2021-12-08
0022100374,2021-12-08
0022100375,2021-12-08
0022100376,2021-12-08
0022100377,2021-12-08
0022100378,2021-12-08
0022100379,2021-12-09
0022100380,2021-12-09
0022100381,2021-12-09
0022100382,2021-12-10
0022100383,2021-12-10
0022100384,2021-12-10
0022100385,2021-12-10
0022100386,2021-12-10
0022100387,2021-12-10
0022100388,2021-12-10
0022100389,2021-12-10
0022100390,2021-12-10
0022100391,2021-12-11
0022100392,2021-12-11
0022100393,2021-12-11
0022100394,2021-12-11
0022100395,2021-12-11
0022100396,2021-12-11
0022100397,2021-12-11
0022100398,2021-12-12
0022100399,2021-12-12
0022100400,2021-12-12
0022100401,2021-12-12
0022100402,2021-12-12
0022100403,2021-12-12
0022100404,2021-12-13
0022100405,2021-12-13
0022100406,2021-12-13
0022100407,2021-12-13
0022100408,2021-12-13
0022100409,2021-12-13
0022100410,2021-12-13
0022100411,2021-12-13
0022100412,2021-12-13
0022100413,2021-12-14
0022100414,2021-12-14
0022100416,2021-12-14
0022100417,2021-12-15
0022100418,2021-12-15
0022100419,2021-12-15
0022100420,2021-12-15
0022100421,2021-12-15
0022100422,2021-12-15
0022100423,2021-12-15
0022100424,2021-12-15
0022100425,2021-12-15
0022100426,2021-12-15
0022100427,2021-12-15
0022100428,2021-12-16
0022100429,2021-12-16
0022100431,2021-12-16
0022100432,2021-12-16
0022100433,2021-12-17
0022100434,2021-12-17
0022100435,2021-12-17
0022100436,2021-12-17
0022100437,2021-12-17
0022100438,2021-12-17
0022100439,2021-12-17
0022100440,2021-12-17
0022100441,2021-12-18
0022100442,2021-12-18
0022100443,2021-12-18
0022100444,2021-12-18
0022100445,2021-12-18
0022100446,2021-12-18
0022100447,2021-12-18
0022100448,2021-12-19
0022100449,2021-12-19
0022100450,2021-12-19
0022100451,2021-12-19
0022100455,2021-12-19
0022100456,2021-12-19
0022100457,2021-12-20
0022100459,2021-12-20
0022100460,2021-12-20
0022100461,2021-12-20
0022100462,2021-12-20
0022100463,2021-12-20
0022100465,2021-12-21
0022100466,2021-12-21
0022100467,2021-12-21
0022100468,2021-12-21
0022100469,2021-12-21
0022100470,2021-12-22
0022100471,2021-12-22
0022100473,2021-12-22
0022100474,2021-12-22
0022100475,2021-12-22
0022100476,2021-12-23
0022100477,2021-12-23
0022100478,2021-12-23
0022100479,2021-12-23
0022100480,2021-12-23
0022100481,2021-12-23
0022100482,2021-12-23
0022100483,2021-12-23
0022100484,2021-12-23
0022100485,2021-12-23
0022100487,2021-12-23
0022100488,2021-12-25
0022100489,2021-12-25
0022100490,2021-12-25
0022100491,2021-12-25
0022100492,2021-12-25
0022100493,2021-12-26
0022100494,2021-12-26
0022100495,2021-12-26
0022100496,2021-12-26
0022100497,2021-12-26
0022100498,2021-12-26
0022100499,2021-12-26
0022100500,2021-12-26
0022100501,2021-12-27
0022100502,2021-12-27
0022100503,2021-12-27
0022100504,2021-12-27
0022100505,2021-12-27
0022100506,2021-12-27
0022100507,2021-12-27
0022100508,2021-12-28
0022100509,2021-12-28
0022100510,2021-12-28
0022100511,2021-12-28
0022100512,2021-12-28
0022100513,2021-12-28
0022100514,2021-12-28
0022100515,2021-12-28
0022100516,2021-12-29
0022100517,2021-12-29
0022100518,2021-12-29
0022100519,2021-12-29
0022100520,2021-12-29
0022100522,2021-12-29
0022100523,2021-12-29
0022100524,2021-12-29
0022100525,2021-12-30
0022100526,2021-12-30
0022100527,2021-12-30
0022100529,2021-12-31
0022100530,2021-12-31
0022100531,2021-12-31
0022100532,2021-12-31
0022100533,2021-12-31
0022100534,2021-12-31
0022100535,2021-12-31
0022100536,2021-12-31
0022100537,2021-12-31
0022100538,2021-12-31
0022100539,2022-01-01
0022100540,2022-01-01
0022100541,2022-01-01
0022100542,2022-01-01
0022100543,2022-01-01
0022100544,2022-01-01
0022100545,2022-01-02
0022100546,2022-01-02
0022100547,2022-01-02
0022100548,2022-01-02
0022100549,2022-01-02
0022100550,2022-01-02
0022100551,2022-01-02
0022100552,2022-01-03
0022100553,2022-01-03
0022100554,2022-01-03
0022100555,2022-01-03
0022100556,2022-01-03
0022100557,2022-01-03
0022100558,2022-01-03
0022100559,2022-01-03
0022100560,2022-01-03
0022100561,2022-01-03
0022100562,2022-01-04
0022100563,2022-01-04
0022100564,2022-01-04
0022100565,2022-01-04
0022100566,2022-01-04
0022100567,2022-01-05
0022100568,2022-01-05
0022100569,2022-01-05
0022100570,2022-01-05
0022100571,2022-01-05
0022100572,2022-01-05
0022100573,2022-01-05
0022100574,2022-01-05
0022100575,2022-01-05
0022100576,2022-01-05
0022100577,2022-01-05
0022100578,2022-01-06
0022100579,2022-01-06
0022100580,2022-01-06
0022100581,2022-01-06
0022100582,2022-01-07
0022100583,2022-01-07
0022100584,2022-01-07
0022100585,2022-01-07
0022100586,2022-01-07
0022100587,2022-01-07
0022100588,2022-01-07
0022100589,2022-01-07
0022100590,2022-01-07
0022100591,2022-01-08
0022100592,2022-01-08
0022100593,2022-01-08
0022100594,2022-01-08
0022100595,2022-01-08
0022100596,2022-01-08
0022100597,2022-01-09
0022100598,2022-01-09
0022100599,2022-01-09
0022100600,2022-01-09
0022100601,2022-01-09
0022100602,2022-01-09
0022100603,2022-01-09
0022100604,2022-01-09
0022100605,2022-01-09
0022100606,2022-01-09
0022100486,2022-01-10
0022100607,2022-01-10
0022100608,2022-01-10
0022100609,2022-01-10
0022100610,2022-01-10
0022100611,2022-01-10
0022100711,2022-01-10
0022100415,2022-01-11
0022100612,2022-01-11
0022100613,2022-01-11
0022100614,2022-01-11
0022100615,2022-01-11
0022100616,2022-01-11
0022100618,2022-01-12
0022100619,2022-01-12
0022100620,2022-01-12
0022100621,2022-01-12
0022100622,2022-01-12
0022100623,2022-01-12
0022100624,2022-01-12
0022100625,2022-01-12
0022100626,2022-01-12
0022100627,2022-01-13
0022100628,2022-01-13
0022100629,2022-01-13
0022100630,2022-01-13
0022100631,2022-01-13
0022100632,2022-01-14
0022100633,2022-01-14
0022100634,2022-01-14
0022100635,2022-01-14
0022100636,2022-01-14
0022100637,2022-01-14
0022100638,2022-01-14
0022100639,2022-01-14
0022100640,2022-01-14
0022100641,2022-01-15
0022100642,2022-01-15
0022100643,2022-01-15
0022100644,2022-01-15
0022100645,2022-01-15
0022100646,2022-01-15
0022100647,2022-01-15
0022100648,2022-01-15
0022100649,2022-01-15
0022100650,2022-01-15
0022100617,2022-01-16
0022100651,2022-01-16
0022100652,2022-01-16
0022100653,2022-01-16
0022100654,2022-01-17
0022100655,2022-01-17
0022100656,2022-01-17
0022100657,2022-01-17
0022100658,2022-01-17
0022100659,2022-01-17
0022100660,2022-01-17
0022100661,2022-01-17
0022100662,2022-01-17
0022100663,2022-01-17
0022100664,2022-01-17
0022100665,2022-01-17
0022100666,2022-01-18
0022100667,2022-01-18
0022100668,2022-01-19
0022100669,2022-01-19
0022100670,2022-01-19
0022100671,2022-01-19
0022100672,2022-01-19
0022100673,2022-01-19
0022100674,2022-01-19
0022100675,2022-01-19
0022100676,2022-01-19
0022100677,2022-01-19
0022100678,2022-01-19
0022100679,2022-01-19
0022100680,2022-01-19
0022100681,2022-01-20
0022100682,2022-01-20
0022100683,2022-01-20
0022100684,2022-01-21
0022100685,2022-01-21
0022100686,2022-01-21
0022100687,2022-01-21
0022100688,2022-01-21
0022100689,2022-01-21
0022100690,2022-01-21
0022100691,2022-01-21
0022100692,2022-01-21
0022100693,2022-01-21
0022100694,2022-01-21
0022100695,2022-01-22
0022100696,2022-01-22
0022100697,2022-01-22
0022100698,2022-01-23
0022100699,2022-01-23
0022100700,2022-01-23
0022100701,2022-01-23
0022100702,2022-01-23
0022100703,2022-01-23
0022100704,2022-01-23
0022100705,2022-01-23
0022100706,2022-01-23
0022100707,2022-01-23
0022100708,2022-01-23
0022100709,2022-01-24
0022100712,2022-01-24
0022100713,2022-01-24
0022100730,2022-01-24
0022100454,2022-01-25
0022100714,2022-01-25
0022100715,2022-01-25
0022100716,2022-01-25
0022100717,2022-01-25
0022100718,2022-01-25
0022100719,2022-01-25
0022100720,2022-01-25
0022100721,2022-01-25
0022100453,2022-01-26
0022100472,2022-01-26
0022100722,2022-01-26
0022100723,2022-01-26
0022100724,2022-01-26
0022100725,2022-01-26
0022100727,2022-01-26
0022100728,2022-01-26
0022100731,2022-01-26
0022100732,2022-01-26
0022100733,2022-01-27
0022100734,2022-01-27
0022100729,2022-01-28
0022100735,2022-01-28
0022100736,2022-01-28
0022100737,2022-01-28
0022100738,2022-01-28
0022100739,2022-01-28
0022100740,2022-01-28
0022100741,2022-01-28
0022100742,2022-01-28
0022100743,2022-01-28
0022100744,2022-01-28
0022100745,2022-01-29
0022100746,2022-01-29
0022100747,2022-01-29
0022100748,2022-01-29
0022100749,2022-01-29
0022100750,2022-01-29
0022100751,2022-01-30
0022100752,2022-01-30
0022100753,2022-01-30
0022100754,2022-01-30
0022100755,2022-01-30
0022100756,2022-01-30
0022100757,2022-01-30
0022100758,2022-01-30
0022100759,2022-01-31
0022100760,2022-01-31
0022100761,2022-01-31
0022100762,2022-01-31
0022100763,2022-01-31
0022100764,2022-01-31
0022100765,2022-01-31
0022100767,2022-01-31
0022100766,2022-02-01
0022100768,2022-02-01
0022100769,2022-02-01
0022100770,2022-02-01
0022100771,2022-02-01
0022100772,2022-02-01
0022100784,2022-02-01
0022100773,2022-02-02
0022100774,2022-02-02
0022100775,2022-02-02
0022100776,2022-02-02
0022100777,2022-02-02
0022100778,2022-02-02
0022100779,2022-02-02
0022100780,2022-02-02
0022100781,2022-02-02
0022100430,2022-02-03
0022100521,2022-02-03
0022100782,2022-02-03
0022100783,2022-02-03
0022100785,2022-02-03
0022100786,2022-02-03
0022100787,2022-02-04
0022100788,2022-02-04
0022100789,2022-02-04
0022100790,2022-02-04
0022100791,2022-02-04
0022100792,2022-02-04
0022100793,2022-02-04
0022100794,2022-02-04
0022100795,2022-02-04
0022100796,2022-02-05
0022100797,2022-02-05
0022100798,2022-02-05
0022100799,2022-02-05
0022100800,2022-02-05
0022100801,2022-02-05
0022100802,2022-02-06
0022100803,2022-02-06
0022100804,2022-02-06
0022100805,2022-02-06
0022100806,2022-02-06
0022100807,2022-02-06
0022100808,2022-02-06
0022100809,2022-02-06
0022100810,2022-02-07
0022100811,2022-02-07
0022100812,2022-02-07
0022100813,2022-02-07
0022100814,2022-02-07
0022100815,2022-02-08
0022100816,2022-02-08
0022100817,2022-02-08
0022100818,2022-02-08
0022100819,2022-02-08
0022100820,2022-02-08
0022100821,2022-02-08
0022100822,2022-02-08
0022100823,2022-02-08
0022100824,2022-02-08
0022100825,2022-02-09
0022100826,2022-02-09
0022100827,2022-02-09
0022100828,2022-02-09
0022100829,2022-02-09
0022100830,2022-02-09
0022100831,2022-02-10
0022100832,2022-02-10
0022100833,2022-02-10
0022100834,2022-02-10
0022100835,2022-02-10
0022100836,2022-02-10
0022100837,2022-02-10
0022100838,2022-02-11
0022100839,2022-02-11
0022100840,2022-02-11
0022100841,2022-02-11
0022100842,2022-02-11
0022100843,2022-02-11
0022100844,2022-02-11
0022100845,2022-02-12
0022100846,2022-02-12
0022100847,2022-02-12
0022100848,2022-02-12
0022100849,2022-02-12
0022100850,2022-02-12
0022100851,2022-02-12
0022100852,2022-02-12
0022100853,2022-02-12
0022100854,2022-02-12
0022100855,2022-02-12
0022100856,2022-02-13
0022100857,2022-02-13
0022100858,2022-02-14
0022100859,2022-02-14
0022100860,2022-02-14
0022100861,2022-02-14
0022100862,2022-02-14
0022100863,2022-02-14
0022100864,2022-02-14
0022100865,2022-02-14
0022100866,2022-02-14
0022100867,2022-02-15
0022100868,2022-02-15
0022100869,2022-02-15
0022100870,2022-02-15
0022100871,2022-02-15
0022100872,2022-02-15
0022100873,2022-02-15
0022100874,2022-02-16
0022100875,2022-02-16
0022100876,2022-02-16
0022100877,2022-02-16
0022100878,2022-02-16
0022100879,2022-02-16
0022100880,2022-02-16
0022100881,2022-02-16
0022100882,2022-02-16
0022100883,2022-02-16
0022100884,2022-02-16
0022100464,2022-02-17
0022100885,2022-02-17
0022100886,2022-02-17
0022100887,2022-02-17
0022100888,2022-02-17
0032100004,2022-02-18
0032100005,2022-02-18
0032100006,2022-02-18
0032100001,2022-02-20
0022100889,2022-02-24
0022100890,2022-02-24
0022100891,2022-02-24
0022100892,2022-02-24
0022100893,2022-02-24
0022100894,2022-02-24
0022100895,2022-02-24
0022100896,2022-02-25
0022100897,2022-02-25
0022100898,2022-02-25
0022100899,2022-02-25
0022100900,2022-02-25
0022100901,2022-02-25
0022100902,2022-02-25
0022100903,2022-02-25
0022100904,2022-02-25
0022100905,2022-02-26
0022100906,2022-02-26
0022100907,2022-02-26
0022100908,2022-02-26
0022100909,2022-02-26
0022100910,2022-02-26
0022100911,2022-02-26
0022100912,2022-02-27
0022100913,2022-02-27
0022100914,2022-02-27
0022100915,2022-02-27
0022100916,2022-02-27
0022100917,2022-02-27
0022100918,2022-02-27
0022100919,2022-02-27
0022100726,2022-02-28
0022100920,2022-02-28
0022100921,2022-02-28
0022100922,2022-02-28
0022100923,2022-02-28
0022100924,2022-02-28
0022100925,2022-02-28
0022100926,2022-03-01
0022100927,2022-03-01
0022100928,2022-03-01
0022100929,2022-03-01
0022100930,2022-03-01
0022100931,2022-03-01
0022100932,2022-03-02
0022100933,2022-03-02
0022100934,2022-03-02
0022100935,2022-03-02
0022100936,2022-03-02
0022100937,2022-03-02
0022100938,2022-03-02
0022100939,2022-03-02
0022100710,2022-03-03
0022100940,2022-03-03
0022100941,2022-03-03
0022100942,2022-03-03
0022100943,2022-03-03
0022100944,2022-03-03
0022100945,2022-03-03
0022100458,2022-03-04
0022100946,2022-03-04
0022100947,2022-03-04
0022100948,2022-03-04
0022100949,2022-03-04
0022100950,2022-03-04
0022100951,2022-03-04
0022100952,2022-03-04
0022100953,2022-03-04
0022100954,2022-03-05
0022100955,2022-03-05
0022100956,2022-03-05
0022100957,2022-03-05
0022100958,2022-03-05
0022100959,2022-03-05
0022100960,2022-03-06
0022100961,2022-03-06
0022100962,2022-03-06
0022100963,2022-03-06
0022100964,2022-03-06
0022100965,2022-03-06
0022100966,2022-03-06
0022100967,2022-03-06
0022100528,2022-03-07
0022100968,2022-03-07
0022100969,2022-03-07
0022100970,2022-03-07
0022100971,2022-03-07
0022100972,2022-03-07
0022100973,2022-03-07
0022100974,2022-03-07
0022100975,2022-03-08
0022100976,2022-03-08
0022100977,2022-03-08
0022100978,2022-03-08
0022100979,2022-03-08
0022100980,2022-03-08
0022100981,2022-03-09
0022100982,2022-03-09
0022100983,2022-03-09
0022100984,2022-03-09
0022100985,2022-03-09
0022100986,2022-03-09
0022100987,2022-03-09
0022100988,2022-03-09
0022100989,2022-03-09
0022100990,2022-03-09
0022100991,2022-03-09
0022100992,2022-03-09
0022100993,2022-03-10
0022100994,2022-03-10
0022100995,2022-03-11
0022100996,2022-03-11
0022100997,2022-03-11
0022100998,2022-03-11
0022100999,2022-03-11
0022101000,2022-03-11
0022101001,2022-03-11
0022101002,2022-03-11
0022101003,2022-03-11
0022101004,2022-03-11
0022101005,2022-03-12
0022101006,2022-03-12
0022101007,2022-03-12
0022101008,2022-03-12
0022101009,2022-03-12
0022101010,2022-03-12
0022101011,2022-03-12
0022101012,2022-03-13
0022101013,2022-03-13
0022101014,2022-03-13
0022101015,2022-03-13
0022101016,2022-03-13
0022101017,2022-03-13
0022101018,2022-03-13
0022101019,2022-03-13
0022101020,2022-03-14
0022101021,2022-03-14
0022101022,2022-03-14
0022101023,2022-03-14
0022101024,2022-03-14
0022101025,2022-03-14
0022101026,2022-03-14
0022101027,2022-03-14
0022101028,2022-03-14
0022101029,2022-03-15
0022101030,2022-03-15
0022101031,2022-03-15
0022101032,2022-03-15
0022101033,2022-03-16
0022101034,2022-03-16
0022101035,2022-03-16
0022101036,2022-03-16
0022101037,2022-03-16
0022101038,2022-03-16
0022101039,2022-03-16
0022101040,2022-03-16
0022101041,2022-03-16
0022101042,2022-03-16
0022101043,2022-03-16
0022101044,2022-03-16
0022101045,2022-03-17
0022101046,2022-03-18
0022101047,2022-03-18
0022101048,2022-03-18
0022101049,2022-03-18
0022101050,2022-03-18
0022101051,2022-03-18
0022101052,2022-03-18
0022101053,2022-03-18
0022101054,2022-03-18
0022101055,2022-03-18
0022101056,2022-03-18
0022101057,2022-03-18
0022101058,2022-03-19
0022101059,2022-03-19
0022101060,2022-03-19
0022101061,2022-03-19
0022101062,2022-03-20
0022101063,2022-03-20
0022101064,2022-03-20
0022101065,2022-03-20
0022101066,2022-03-20
0022101067,2022-03-20
0022101068,2022-03-20
0022101069,2022-03-20
0022101070,2022-03-20
0022101071,2022-03-21
0022101072,2022-03-21
0022101073,2022-03-21
0022101074,2022-03-21
0022101075,2022-03-21
0022101076,2022-03-21
0022101077,2022-03-21
0022101078,2022-03-21
0022101079,2022-03-21
0022101080,2022-03-22
0022101081,2022-03-22
0022101082,2022-03-22
0022101083,2022-03-22
