idx,combo,hr3,n3,hr5,over_hr,under_hr,mae,gates
0,feature-set=v12_noveg,73.08,26,83.33,100.0,61.1,5.1523,False
1,feature-set=v13,66.67,21,85.71,100.0,50.0,5.1616,False
2,feature-set=v15,61.9,21,100.0,75.0,53.8,5.2102,False
3,feature-set=v16_noveg,60.0,25,66.67,81.8,42.9,5.239,False
